Title,Author,Publication Year
"[L' Allemagne au-dessus de tout] ; ""Deutschland über alles"" : die deutsche Mentalität und der Krieg / Émile Durkheim ; herausgegeben und mit einem Essay von Marie Rotkopf","Durkheim, Émile [Verfasser]; Rotkopf, Marie [Herausgeber] [Verfasser]; Creutz, Daniel [Übersetzer]; Hatt, Jacques [Übersetzer]",2022
Die Stille / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser] [Erzähler]",2022
Emile Durkheim : Zur Bestimmung der französischen Soziologie in Deutschland,"König, René [Verfasser]; Albrecht, Clemens [Herausgeber]",2022
Emile Durkheim : zur Bestimmung der französischen Soziologie in Deutschland / René König ; herausgegeben und mit einem Nachwort versehen von Clemens Albrecht,"König, René [Verfasser]; Albrecht, Clemens [Herausgeber]",2022
"De quelques formes de classification. Contribution à l'étude des représentations collectives / Emile Durkheim, Marcel Mauss","Durkheim, Emile [Verfasser]; Mauss, Marcel [Verfasser]",2021
"K. G. Dürkheim habla sobre más allá de las religiones / [K. G. Dürkheim]. Presentado por J. Castermane. [En español, voz de: José Ma. Cañete]","Dürckheim, Karlfried [Verfasser]; Cañete, José Maria [Erzähler]",2021
Kritik der historisch-existenzialistischen Soziologie : ein Beitrag zur Begründung einer objektiven Soziologie / René König ; herausgegeben und mit einem Nachwort versehen von Hans-Joachim Hummell,"König, René [Verfasser]; Hummell, Hans-Joachim [Herausgeber]",2021
Kritik der historisch-existenzialistischen Soziologie : Ein Beitrag zur Begründung einer objektiven Soziologie,"König, René [Verfasser]; Hummell, Hans-Joachim [Herausgeber]",2021
Soziologie und Geschichtsphilosophie : die Repräsentation historischer Wirklichkeit bei Emile Durkheim / Felix Steilen,"Steilen, Felix [Verfasser]",2021
Soziologie und Geschichtsphilosophie : Die Repräsentation historischer Wirklichkeit bei Emile Durkheim / Felix Steilen,"Steilen, Felix [Verfasser]",2021
"Der Körper, den ich habe - der Leib, der ich bin : Vortrag am 27. April 1983 auf d. 33. Lindauer Therapiewochen / von Prof. Dr. Graf Dürckheim","Dürckheim, Karlfried [Verfasser]",2020
"Der Körper, den ich habe - der Leib, der ich bin : Vortrag vom 27.4.1983 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",2020
Der richtige Umgang mit den Dingen als Möglichkeit der Übung auf dem Weg : Vortrag vom 6.12.1969 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
Die drei Stufen menschlicher Entwicklung : Vortrag vom 3. Oktober 1970 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
Einführung in das Wesen der Meditation : Vortrag vom 23.2.1975 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
In der Begegnung mit dem Osten begegnen wir unserem Schatten : Vortrag vom 8.7.1973 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
La Sociologie et son domaine scientifique : un texte fondateur de l'institutionnalisation de la sociologie comme science (1900) / Émile Durkheim,"Durkheim, Émile [Verfasser]",2020
Licht und Dunkel auf dem Weg zum eigenen Selbst : Vortrag im Okt. 1983 in München / von Prof. Dr. Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2020
Licht und Dunkel auf dem Weg zum eigenen Selbst : Vortrag vom Oktober 1983 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
Meditation - eine Verwandlungsübung : Vortrag vom 3.6.1972 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2020
"Weg-Kultur im Osten, Werk-Kultur im Westen : Vortrag vom 23.2.1975 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",2020
Zeitloses Wissen / Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2020
Das soziologische Genie und sein solides Handwerk : Studien zu Émile Durkheims Forschungsprogramm / Hans-Peter Müller,"Müller, Hans-Peter [Verfasser]",2019
Das soziologische Genie und sein solides Handwerk : Studien zu Émile Durkheims Forschungsprogramm,"Müller, Hans-Peter [Verfasser]",2019
Der Alltag als Übung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
Der initiatische Weg / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
"Der Körper, den ich habe - der Leib, der ich bin : Vortrag vom 27.4.1983 / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Verfasser]",2019
Der richtige Umgang mit den Dingen als Möglichkeit der Übung auf dem Weg : Vortrag vom 6.12.1969 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2019
Die initiatische Leibtherapie / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
Die Wirklichkeit des Menschen als Subjekt / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
Einführung in die Praxis der Meditation / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
In der Begegnung mit dem Osten begegnen wir unserem Schatten : Vortrag vom 8.7.1973 / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2019
Meditation als Geisteshaltung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
"Meditation, Leid und Christentum / Karlfried Graf Dürckheim","Dürckheim, Karlfried [Mitwirkender]",2019
Östliche Weisheit und westlicher Geist im Spannungsfeld der Gegenwart / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Mitwirkender]",2019
Der Alltag als Übung : vom Weg zur Verwandlung / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2018
Die Stille / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser] [Erzähler]",2018
Émile Durkheim zur Einführung / Heike Delitz,"Delitz, Heike [Verfasser]",2018
Le Suicide / Émile Durkheim,"Durkheim, Émile [Verfasser]",2018
"Sacred and the Law: The Durkheimian Legacy / Herausgeber: Werner Gephart, Daniel Witte","Gephart, Werner [Herausgeber]; Witte, Daniel [Herausgeber]",2017
The sacred and the law: the Durkheimian legacy / Werner Gephart/Daniel Witte (eds.),"Gephart, Werner [Herausgeber]; Witte, Daniel [Herausgeber]",2017
"Das Verhältnis zwischen Individuum und Gesellschaft. Marx, Durkheim, Weber und Simmel im Vergleich / Sven Böttger","Böttger, Sven [Verfasser]",2016
Die Sozialisationstheorien von Émile Durkheim und Talcott Parsons. Eine Apologie der Bildungssoziologie / Moritz Heinz Brylski,"Brylski, Moritz Heinz [Verfasser]",2016
Zen und wir / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2016
Zen und wir / Karlfried Graf Dürckheim,"Dürckheim, Karlfried",2016
Émile Durkheim / Daniel Šuber,"Šuber, Daniel [Verfasser]",2015
L' Allemagne au dessus de tout : commentaire à vive voix / Émile Durkheim/Bruno Karsenti,"Durkheim, Émile [Verfasser]; Karsenti, Bruno [Verfasser]",2015
Auf den Spuren der Klassiker : Pierre Bourdieus Feldtheorie und die Gründerväter der Soziologie / Daniel Witte,"Witte, Daniel [Verfasser]",2014
"Kapital, rationalitet och social sammanhållning : en introduktion till klassisk samhällsteori / Anders Boglind ; Sven Eliaeson ; Per Månson","Boglind, Anders Verfasser]; [Eliæson, Sven [Verfasser]; Månson, Per [Verfasser]",2014
