Title,Author,Publication Year
Grundlegung der Soziologie des Rechts / von Eugen Ehrlich ; neu bearbeitet von Manfred Rehbinder,"Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Herausgeber]",2022
"Grundlegung der Soziologie des Rechts. : Fünfte Auflage, neu bearbeitet von Manfred Rehbinder. / Eugen Ehrlich","Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Herausgeber]",2022
Grundlegung der Soziologie des Rechts / Von Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]",2021
Gesetz und lebendes Recht. : Vermischte kleinere Schriften. Hrsg. von Manfred Rehbinder. / Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Herausgeber]",2020
Recht und Leben. : Gesammelte Schriften zur Rechtstatsachenforschung und zur Freirechtslehre. Ausgewählt und eingeleitet von Manfred Rehbinder. / Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Herausgeber]",2020
Politische Schriften. : Hrsg. und eingeleitet von Manfred Rehbinder. / Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Verfasser eines Geleitworts]; Rehbinder, Manfred [Herausgeber]",2019
Das zwingende und nichtzwingende Recht im BGB für das deutsche Reich / Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]",2017
Die Begründung der Rechtssoziologie durch Eugen Ehrlich. / Manfred Rehbinder,"Rehbinder, Manfred [Verfasser]",2014
Eugen Ehrlich's sociology of law / ed. by Knut Papendorf ...,"Papendorf, Knut [Herausgeber]",2014
Grundlegung der Soziologie des Rechts. / Eugen Ehrlich,"Ehrlich, Eugen [Verfasser]; Rehbinder, Manfred [Herausgeber]",2014
"Die Aufgaben der Sozialpolitik im österreichischen Osten. : (Juden- und Bauernfrage). (Schriften des Sozialwissenschaftlichen Akademischen Vereins in Czernowitz, Heft I). / Eugen Ehrlich","Ehrlich, Eugen",2013
Dreiteiligkeit im römischen Recht. : Aus dem Englischen übertragen von Eugen Ehrlich. / Henry Goudy,"Goudy, Henry; Ehrlich, Eugen",2013
Zu Eugen Ehrlichs 150. Geburtstag und 90. Todestag / Heinz Barta ... (Hg.),"Barta, Heinz [Herausgeber]; Ehrlich, Eugen [Gefeierter]; Ganner, Michael [Herausgeber]; Voithofer, Caroline [Herausgeber]",2013
Eugen Ehrlich interkulturell gelesen / von Markus Porsche-Ludwig,"Porsche-Ludwig, Markus [Verfasser]",2011
Osnovopoloženie sociologii prava / Ojgen Ėrlich. [Per. s nem. M. V. Antonova. Sankt-Peterburgskij Gosudarstvennyj Universitet],"Ehrlich, Eugen [Verfasser]",2011
