Title,Author,Publication Year
Visitenkarte,"Kelsen, Hans [Verfasser]; Becher, Ulrich [Adressat]",2023
[Was ist die reine Rechtslehre?] ; Che cos'è la dottrina pura del diritto? / Hans Kelsen ; a cura di Tommaso Gazzolo,"Kelsen, Hans",2022
Die Geltung als Tatsache : zur Rechtstatsächlichkeit bei Hans Kelsen und Robert Alexy / Henrique Gonçalves Neves,"Neves, Henrique Gonçalves [Verfasser]",2022
Die Geltung als Tatsache : Zur Rechtstatsächlichkeit bei Hans Kelsen und Robert Alexy / Henrique Gonçalves Neves,"Neves, Henrique Gonçalves [Verfasser]",2022
Het spook van Weimar : een democratie in crisis / Raisa Blommestijn,"Blommestijn, Raisa [Verfasser]",2022
Band 7. Veröffentlichte Schriften 1921-1923,,2022
"A teoria comunista do Direito / Hans Kelsen, Tradutor: Pedro Davoglio","Kelsen, Hans",2021
[Die Staatslehre des Dante Alighieri <port.>] ; A teoria do estado de Dante Alighieri / Hans Kelsen ; tradução: Luiz Felipe Brandão Osório,"Kelsen, Hans [Verfasser]; Osório, Luiz Felipe Brandão [Übersetzer]; Kelsen, Hans, 1881-1973 [Verfasser]",2021
ad Hans Kelsen : Rechtspositivist und Demokrat / Horst Dreier,"Dreier, Horst [Verfasser]",2021
Die Reine Rechtslehre Kelsens : Zwölf Beiträge,"Schild, Wolfgang [Herausgeber]",2021
Die Reine Rechtslehre Kelsens : zwölf Beiträge / Wolfgang Schild,"Schild, Wolfgang [Herausgeber]",2021
Hans Kelsen : Biographie eines Rechtswissenschaftlers / Thomas Olechowski,"Olechowski, Thomas [Verfasser]",2021
"Hans Kelsen : Biographie eines Rechtswissenschaftlers / von Thomas Olechowski unter Mitarbeit von Jürgen Busch, Tamara Ehs, Miriam Gassner und Stefan Wedrac","Olechowski, Thomas [Verfasser]; Busch, Jürgen [Verfasser]; Ehs, Tamara [Verfasser]",2021
Hans Kelsen und die deutsche Staatsrechtslehre : Stationen eines wechselvollen Verhältnisses,"Jestaedt, Matthias [Herausgeber]",2021
Rechts- und Verfassungspolitologie bei Ernst Fraenkel und Otto Kirchheimer : Kritik und Rezeption des demokratischen Rechtspositivismus von Hans Kelsen und des Be-griffs des Politischen von Carl Schmitt / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2021
Rechtsphilosophie im Spiegel der Zeit : Beiträge zum Rechtsdenken Gustav Radbruchs (1878-1949) / Ulfrid Neumann,"Neumann, Ulfrid [Verfasser]; Paulson, Stanley L. [Herausgeber]",2021
Rechtsphilosophie im Spiegel der Zeit : Beiträge zum Rechtsdenken Gustav Radbruchs (1878-1949) / Ulfrid Neumann ; herausgegeben und eingeleitet von Stanley L. Paulson,"Neumann, Ulfrid [Verfasser]; Paulson, Stanley L. [Herausgeber]",2021
Der Staat der Moderne : Hans Kelsens Pluralismustheorie / von Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2020
Der Staat der Moderne. : Hans Kelsens Pluralismustheorie. / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2020
"Die reine Rechtslehre auf dem Prüfstand :Tagung der Deutschen Sektion der Internationalen Vereinigung für Rechts- und Sozialphilosophie vom 27.-29. September 2018 in Freiburg im Breisgau = Hans Kelsen's pure theory of law: conceptions and misconceptions / herausgegeben von Matthias Jestaedt, Ralf Poscher und Jörg Kammerhofer","Jestaedt, Matthias [Herausgeber]; Poscher, Ralf [Herausgeber]; Kammerhofer, Jörg [Herausgeber]",2020
"Die Verfassungsentwicklung 1918-1920 und Hans Kelsen / herausgegeben von Clemens Jabloner, Thomas Olechowski, Klaus Zeleny","Jabloner, Clemens [Herausgeber]; Olechowski, Thomas [Herausgeber]; Zeleny, Klaus [Herausgeber]",2020
"Gezeichnet, Hans Kelsen : Graphic Novel / Text und Illustration Pia Plankensteiner","Plankensteiner, Pia [Verfasser] [Künstler]",2020
"Gustav Radbruch, Hans Kelsen und der Nationalsozialismus : zwischen Recht, Unrecht und Nicht-Recht / Taner Aydin","Aydin, Taner [Verfasser]",2020
"Gustav Radbruch, Hans Kelsen und der Nationalsozialismus : Zwischen Recht, Unrecht und Nicht-Recht / Taner Aydin","Aydin, Taner [Verfasser]",2020
Hans Kelsen : Biographie eines Rechtswissenschaftlers / Thomas Olechowski,"Olechowski, Thomas [Verfasser]",2020
"Hans Kelsen : Biographie eines Rechtswissenschaftlers / von Thomas Olechowski ; unter Mitarbeit von Jürgen Busch, Tamara Ehs, Miriam Gassner und Stefan Wedrac","Olechowski, Thomas [Verfasser]",2020
Hans Kelsen : Staatsrechtslehrer und Rechtstheoretiker des 20. Jahrhunderts,"Stolleis, Michael [Herausgeber]; Paulson, Stanley L. [Herausgeber]",2020
Kelsens Kritiker : Ein Beitrag zur Geschichte der Rechts- und Staatstheorie (1911-1934) / Axel-Johannes Korb,"Korb, Axel-Johannes [Verfasser]",2020
Law´s claim to correctness / Maria Claudia Quimbayo Duarte,"Quimbayo Duarte, María Claudia [Verfasser]",2020
Law´s Claim to Correctness / Maria Claudia Quimbayo Duarte,"Quimbayo Duarte, María Claudia [Verfasser]",2020
