Title,Author,Publication Year
Soziologie unter Anwesenden : Systemtheoretische Vorlesungen 1966-1970 / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Gesigora, Christoph [Herausgeber]; Kieserling, André [Herausgeber]; Schmidt, Johannes F. K. [Herausgeber]",2024
Erkenntnis als Konstruktion : (Great Papers Soziologie) / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Jahraus, Oliver [Herausgeber]",2023
Schriften zur Organisation 6 : Annotationen und Verzeichnisse / Niklas Luhmann,"Luhmann, Niklas; Tacke, Veronika",2023
"""Wie interessant"" - den Wahnsinn der Organisation verstehen / mit Niklas Luhmann ; Zeichnungen: Michael Hüther","Luhmann, Niklas [Sonstige]; Hüter, Michael [Illustrator]; Wallraf-Pflug, Daniela Verfasser]; Groth, Torsten [Verfasser]; Günther, Stefan [Verfasser]; Ohler, Matthias [Verfasser]; [Simon, Fritz B. [Verfasser]",2023
"[Grundrechte als Institution] ; Droits de l'homme et différenciation sociale : une contribution à la sociologie politique / Niklas Luhmann ; traduction, présentation et bibliographie par Lukas K. Sosoe","Luhmann, Niklas [Verfasser]",2022
Luhmann leicht gemacht : Eine Einführung in die Systemtheorie / Margot Berghaus,"Berghaus, Margot [Verfasser]",2022
Luhmann leicht gemacht : eine Einführung in die Systemtheorie / Margot Berghaus,"Berghaus, Margot [Verfasser]",2022
Schriften zur Organisation 5 : Vorträge • Lexikonartikel • Rezensionen,"Luhmann, Niklas [Verfasser]; Tacke, Veronika [Herausgeber]",2022
"The making of meaning : from the individual to social order, selections from Niklas Luhmann's works on semantics and social structure / edited by Christian Morgner ; translated by Margaret Hiley, Christian Morgner, and Michael King","Luhmann, Niklas,, 1927-1998; Morgner, Christian [editor]",2022
Vorträge - Lexikonartikel - Rezensionen / Niklas Luhmann ; herausgegeben von Ernst Lukas und Veronika Tacke,"Luhmann, Niklas [Verfasser]; Lukas, Ernst [Herausgeber]; Tacke, Veronika [Herausgeber]",2022
"(Wie) Funktioniert unsere Gesellschaft, Herr Luhmann? : ein fiktives, aber reales Interview mit dem Soziologen Niklas Luhmann / Mathias Günther","Günther, Mathias Verfasser]; [Luhmann, Niklas [Sonstige]",2022-2022
[Luhmann] ; Comunicazione ecologica : Può la società moderna affrontare le minacce ecologiche? / Niklas Luhmann a cura di Alberto Cevolini,"Luhmann, Niklas [Verfasser]",2021
Die Grenzen der Verwaltung / Niklas Luhmann ; herausgegeben von Johannes F.K. Schmidt und Christoph Gesigora ; mit einem Nachwort von André Kieserling und Johannes F.K. Schmidt,"Luhmann, Niklas [Verfasser]",2021
Die Grenzen der Verwaltung / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Schmidt, Johannes F. K. [Herausgeber]; Gesigora, Christoph [Herausgeber]",2021
Differenz - Kopplung - Reflexion : Beiträge zur Gesellschaftstheorie / Niklas Luhmann ; hrsgg. von Johannes F.K. Schmidt und André Kieserling,"Luhmann, Niklas [Verfasser]; Schmidt, Johannes F. K. [Herausgeber]",2021
[Luhmann] ; La société de la société / Niklas Luhmann ; traduit de l'allemand par Flavien Le Bouterllschaft der Gesellschaft <franz.>,"Luhmann, Niklas [Verfasser]; Le Bouter, Flavien [Übersetzer]",2021
"Lektüre als Form : Das absolute Buch bei Friedrich Schlegel, Walter Benjamin und Niklas Luhmann / Charlotte Coch","Coch, Charlotte [Verfasser]",2021
"Lektüre als Form : das absolute Buch bei Friedrich Schlegel, Walter Benjamin und Niklas Luhmann / Charlotte Coch","Coch, Charlotte [Verfasser]",2021
"Niklas Luhmann am OVG Lüneburg : zur Entstehung der Systemtheorie / herausgegeben von Timon Beyes, Wolfgang Hagen, Claus Pias und Martin Warnke","Warnke, Martin [Herausgeber]; Beyes, Timon [Herausgeber]; Pias, Claus [Herausgeber]; Hagen, Wolfgang [Herausgeber]",2021
Niklas Luhmann am OVG Lüneburg. : Zur Entstehung der Systemtheorie.,"Warnke, Martin [Herausgeber]; Beyes, Timon [Herausgeber]; Hagen, Wolfgang [Herausgeber]; Pias, Claus [Herausgeber]",2021
[Luhmann] ; Právo společnosti / Niklas Luhmann ; z německého originálu přeložil Milan Váňa,"Luhmann, Niklas [Verfasser]; Váňa, Milan. [Übersetzer]",2021
"[Soziale Systeme] ; Soziale Systeme : Grundriß einer allgemeinen Theorie, chinesisch","Luhmann, Niklas [Sonstige]",2021
"Systemtheorie, Diskurstheorie und das Recht der Transzendentalphilosophie : Kant - Luhmann - Habermas / Miguel Torres Morales","Torres Morales, Miguel [Verfasser]",2021
"Technologisches Regieren : der Aufstieg des Netzwerk-Denkens in der Krise der Moderne :  Foucault, Luhmann und die Kybernetik / Vincent August","August, Vincent [Verfasser]",2021
"Technologisches Regieren : Der Aufstieg des Netzwerk-Denkens in der Krise der Moderne. Foucault, Luhmann und die Kybernetik / Vincent August","August, Vincent [Verfasser]",2021
Peatükid 1/3,,2021
Peatükid 4/5,,2021
[Luhmann] ; Ühiskonna ühiskond / Niklas Luhmann ; saksa keelest tõlkinud Piret Metspalu,"Luhmann, Niklas [Verfasser]",2021-2021
"Unlocking Luhmann : A Keyword Introduction to Systems Theory / Claudio Baraldi, Giancarlo Corsi, Elena Esposito","Baraldi, Claudio [Verfasser]; Corsi, Giancarlo [Verfasser]; Esposito, Elena [Verfasser]; Walker, Katherine U. [Übersetzer]",2021
"Unlocking Luhmann : a keyword introduction to systems theory / Claudio Baraldi, Giancarlo Corsi, Elena Esposito ; translation by Katherine Walker","Baraldi, Claudio [Verfasser]; Corsi, Giancarlo [Verfasser]; Esposito, Elena [Verfasser]",2021
[Luhmann] ; Yení Şef : bürokratik tutuculuk ve liderlik / Niklas Luhmann ; Türkçesi Mustafa Şahin Garipbaş,"Luhmann, Niklas [Verfasser]",2021
Die Spur der Gesellschaft : Reflexionen zur Gesellschaftstheorie nach Luhmann / Tobias Arenz,"Arenz, Tobias [Verfasser]",2020
Ein Luhmann-Leitfaden für Ökonomen : eine Neugründung der Ordnungstheorie / Bruno Schönfelder,"Schönfelder, Bruno [Verfasser]",2020
Ein Luhmann-Leitfaden für Ökonomen : Eine Neugründung der Ordnungstheorie / Bruno Schönfelder,"Schönfelder, Bruno [Verfasser]",2020
Einführung in die Systemtheorie / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Baecker, Dirk [Herausgeber]",2020
"História, semântica e sociedade / Niklas Luhmann ; editado por Leopoldo Waizbort","Luhmann, Niklas [Verfasser]",2020
[Die Wirtschaft der Gesellschaft] ; L' economia della società / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2020
Reform und Beratung / Niklas Luhmann ; herausgegeben von Ernst Lukas und Veronika Tacke,"Luhmann, Niklas [Verfasser]; Tacke, Veronika [Herausgeber]; Lukas, Ernst [Herausgeber]",2020
Schriften zur Organisation 4 : Reform und Beratung,"Luhmann, Niklas [Verfasser]; Tacke, Veronika [Herausgeber]; Lukas, Ernst [Herausgeber]",2020
[Soziale Systeme] ; Shakai shisutemu : aru fuhenteki riron no guruntorisu 1 / Luhmann Niklas ; Baba Yasuo,"Luhmann, Niklas. [Verfasser]; Baba, Yasuo. [Sonstige]",2020
[Soziale Systeme] ; Shakai shisutemu : aru fuhenteki riron no guruntorisu 2 / Luhmann Niklas ; Baba Yasuo,"Luhmann, Niklas. [Verfasser]; Baba, Yasuo. [Sonstige]",2020
Sociología del riesgo / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Nafarrate, Javier Torres [Herausgeber]",2020
Souveränitätsfragmente : Ein Beitrag zur Literaturgeschichte der Souveränität und gegenwärtigen Herausforderungen der Rechtswissenschaften im Spiegel der Digitalisierung / Julien Steinbach,"Steinbach, Julien [Verfasser]",2020
Systemtheorie und Differenzierungstheorie als Kritik : Perspektiven in Anschluss an Niklas Luhmann / Albert Scherr (Hrsg.),"Scherr, Albert [Herausgeber]",2020
Systemtheorie und Differenzierungstheorie als Kritik : Perspektiven in Anschluss an Niklas Luhmann,"Scherr, Albert [Herausgeber]",2020
Aufsätze und Reden / Niklas Luhmann ; herausgegeben von Oliver Jahraus,"Luhmann, Niklas [Verfasser]",2019
[Kontingenz und Recht] ; Contingencia y derecho : la teoría del derecho en un contexto interdisciplinario / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2019
