Title,Author,Publication Year
Der Bürgerkrieg in Frankreich : Adresse des Generalraths der Internationalen Arbeiter-Assoziation an alle Mitglieder in Europa und den Vereinigten Staaten / Karl Marx,"Marx, Karl [Verfasser]",2023
Es kömmt drauf an : Marx beim Wort genommen,"Marx, Karl [Sonstige]; Oehme, Johannes [Herausgeber]",2023
"Manifest der Kommunistischen Partei : Illustrierte Ausgabe / Karl Marx, Friedrich   Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2023
"Manifest der Kommunistischen Partei : Illustrierte Ausgabe / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2023
Marx lesen : eine Lesung zum 200. Geburtstag von Karl Marx,"Marx, Karl [Verfasser]",2023
"MEW/Marx-Engels-Werke Band 21 : Mai 1883 - Dezember 1889 / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2023
"The Communist Manifesto (Spanish Edition) / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2023
"Walters illustrierte Philosophiestunde/Manifest der Kommunistischen Partei : Illustrierte Ausgabe / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2023
Briefe an Kugelmann / Karl Marx. Im Anh.: Vorw. von W. I. Lenin zur russ. Ausg. 1907,"Marx, Karl [Verfasser]; Lenin, Vladimir Ilʹič [Mitwirkender]",2022
"[Misère de la philosophie] ; Das Elend der Philosophie : Antwort auf Proudhons ""Philosophie des Elends"" / Karl Marx. Dt. von E. Bernstein u. K. Kautsky. Mit Vorw. u. Noten von Karl Marx","Marx, Karl [Verfasser]; Bernstein, Eduard [Mitwirkender]; Kautsky, Karl [Mitwirkender]",2022
Das Elend der Philosophie : Antwort auf Proudhons »Philosophie des Elends« / Karl Marx,"Marx, Karl Verfasser]; [Kautsky, Karl [Übersetzer]; Bernstein, Eduard [Übersetzer]; Engels, Friedrich [Verfasser]",2022
Das Elend der Philosophie : Antwort auf Proudhons »Philosophie des Elends« / Karl Marx,"Marx, Karl [Verfasser]",2022
Bd. 1. Der Produktionsprozess des Kapitals / Hrsg. von Friedrich Engels,"Engels, Friedrich [Mitwirkender]",2022
Bd. 3. Der Gesamtprozess der kapitalistischen Produktion / Hrsg. von Friedrich Engels,"Engels, Friedrich [Mitwirkender]",2022
Bd. 4. Theorien über den Mehrwert / Inst. für Marxismus-Leninismus beim ZK der SED; T. 1,,2022
[Marx] ; Das Kapital : Kritik der politischen Ökonomie / Karl Marx ; herausgegeben vom Institut für Sozialkritik,"Marx, Karl [Verfasser]",2022
Das Kapital : Kritik der politischen Ökonomie / Karl Marx,"Marx, Karl [Verfasser]",2022
Das Kapital : Kritik der politischen Ökonomie / Karl Marx. Mit e. krit. Einführung in den Marxismus von Sebastian Franck,"Marx, Karl [Verfasser]; Rühle, Otto [Mitwirkender]; Jacoby, Henry [Mitwirkender]",2022
Das Kapital Band 2 / Karl Marx,"Marx, Karl [Verfasser]",2022
Das Kapital Band 2 / Karl Marx,"Marx, Karl [Verfasser]",2022
Das kapitalistische Lohnsystem : (Nach Vortr. aus d. Jahren 1847 u. 1865) / Karl Marx. [Hrsg. von August Skalweit],"Marx, Karl [Verfasser]; Skalweit, August [Mitwirkender]",2022
Das Kommunistische Manifest / Karl Marx ; F. Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
"Das kommunistische Manifest / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
Das Kommunistische Manifest / Marx ; Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
Das kommunistische Manifest / Karl Marx ; Friedrich Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
Das kommunistische Manifest [1848] / Karl Marx ; Friedrich Engels. Mit Vorr. von,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
Der achtzehnte Brumaire des Louis Bonaparte / Karl Marx,"Marx, Karl [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
Der achtzehnte Brumaire des Louis Bonaparte / Karl Marx,"Marx, Karl [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
"Der Briefwechsel zwischen Friedrich Engels und Karl Marx 1844 bis 1883, Erster Band / Friedrich Engels, Karl Marx","Engels, Friedrich Verfasser]; [Marx, Karl [Verfasser]",2022
Der Bürgerkrieg in Frankreich / Karl Marx. Eingel. von Friedrich Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Mitwirkender]",2022
[Marx] ; Der Produktionsprocess des Kapitals / Karl Marx,"Marx, Karl [Verfasser]",2022
Der Rechtsgedanke bei Marx : Quellenstudien zu einer entwicklungsgeschichtlichen Rekonstruktion seiner Philosophie des Rechts / Dirk Purschke,"Purschke, Dirk [Verfasser]",2022
Der Rechtsgedanke bei Marx : Quellenstudien zu einer entwicklungsgeschichtlichen Rekonstruktion seiner Philosophie des Rechts / Dirk Purschke,"Purschke, Dirk [Verfasser]",2022
Der unversöhnte Marx : die Welt in Aufruhr / Michael Quante,"Quante, Michael [Verfasser]",2022
"Die Entdeckung der Gestaltbarkeit : Gesellschaftstheorien bei Alexis de Tocqueville, Karl Marx und Max Weber / Felix Baumert","Baumert, Felix [Verfasser]",2022
"Die Entdeckung der Gestaltbarkeit : Gesellschaftstheorien bei Alexis de Tocqueville, Karl Marx und Max Weber / Felix Baumert","Baumert, Felix [Verfasser]",2022
Die Klassenkämpfe in Frankreich : 1848 bis 1850 / Karl Marx. Mit Einl. von Friedrich Engels u.e. Vorw. von August Bebel,"Marx, Karl [Verfasser]; Engels, Friedrich [Mitwirkender]; Bebel, August [Mitwirkender]",2022
