Title,Author,Publication Year
Atypischer Einzelfall und allgemeines Gesetz : Die Berücksichtigung atypischer Sachverhalte im Zusammenspiel von Rechtsetzung und gebundener Rechtsanwendung / Max Weber,"Weber, Max [Verfasser]",2023
Atypischer Einzelfall und allgemeines Gesetz : die Berücksichtigung atypischer Sachverhalte im Zusammenspiel von Rechtsetzung und gebundener Rechtsanwendung / Max Weber,"Weber, Max [Verfasser]",2023
Gesammelte Aufsätze zur Wissenschaftslehre / Max Weber,"Weber, Max [Verfasser]",2023
Adorno und Andere : Soziologische Exkurse zu Kunst und Literatur / Walther Müller-Jentsch,"Müller-Jentsch, Walther [Verfasser]",2022
Adorno und andere : soziologische Exkurse zu Kunst und Literatur / Walther Müller-Jentsch,"Müller-Jentsch, Walther [Verfasser]",2022
"Aus den Schriften zur Religionssoziologie / Max Weber. Ausw., Einl. u. Bemerk. von M. Ernst Graf zu Solms","Weber, Max [Verfasser]; Solms-Roedelheim, Max Ernst zu [Mitwirkender]",2022
Der Begriff der Askese in der Religionssoziologie Max Webers. / Christian Lührsen,"Lührsen, Christian [Verfasser]",2022
Der Begriff der Askese in der Religionssoziologie Max Webers / von Christian Lührsen,"Lührsen, Christian [Verfasser]",2022
"Die Entdeckung der Gestaltbarkeit : Gesellschaftstheorien bei Alexis de Tocqueville, Karl Marx und Max Weber / Felix Baumert","Baumert, Felix [Verfasser]",2022
"Die Entdeckung der Gestaltbarkeit : Gesellschaftstheorien bei Alexis de Tocqueville, Karl Marx und Max Weber / Felix Baumert","Baumert, Felix [Verfasser]",2022
"Die Verhältnisse der Landarbeiter im ostelbischen Deutschland (Preußische Provinzen Ost- und Westpreußen, Pommern, Posen, Schlesien, Brandenburg, Großherzogtümer Mecklenburg, Kreis Herzogtum Lauenburg). : Dargestellt auf Grund der vom Verein für Socialpolitik veranstalteten Erhebungen. Die Verhältnisse der Landarbeiter in Deutschland, dritter Band. (Schriften des Vereins für Socialpolitik LV). / Max Weber","Weber, Max [Verfasser]",2022
[Politik als Beruf] ; Dve lekcii. Politikata kato prizvanija.Naukata kato prizvanie / Maks Veber,"Weber, Max",2022
gelbe Buchreihe/Kürzere politische Schriften – Band 189e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 189e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
gelbe Buchreihe/Kürzere politische Schriften – Farbe – Band 189e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 189e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
gelbe Buchreihe/Parlament und Regierung im neu geordneten Deutschland – Band 188e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 188e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
gelbe Buchreihe/Parlament und Regierung im neu geordneten Deutschland – Band 188e in der gelben Buchreihe – Farbe – bei Jürgen Ruszkowski : Band 188e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
Bd. 1.,,2022
Gesammelte Aufsätze zur Religionssoziologie / Max Weber,"Weber, Max [Verfasser]",2022
"Abt. 3, Vorlesungen und Vorlesungsnachschriften; Bd. 6. Abriß der universalen Sozial- und Wirtschaftsgeschichte : Mit- und Nachschriften 1919/20; CD-ROM. / Hrsg. von Wolfgang Schluchter","Schluchter, Wolfgang [Mitwirkender]",2022
[Weber] ; Gesamtausgabe / Max Weber ; im Auftrag der Kommission für Sozial- und Wirtschaftsgeschichte der Bayerischen Akademie der Wissenschaften ; herausgegeben von Horst Baier [und weiteren],"Weber, Max [Verfasser]; Baier, Horst [Herausgeber]",2022
"Jenseits von Subjektivismus und Objektivismus. : Max Weber, Alfred Schütz und Talcott Parsons. / Thomas Schwinn","Schwinn, Thomas [Verfasser]",2022
Kürzere politische Schriften – Band 189e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 189e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
Kürzere politische Schriften – Farbe – Band 189e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 189e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
Max Maria von Weber : Ingenieur und Literat : zum 200. Geburtstag des Weber-Sohnes / Romy Donath,"Petrick, Romy [Verfasser]",2022
"Max Weber revisited: zur Aktualität eines Klassikers / Ulrich Bachmann, Thomas Schwinn (Hrsg.)","Bachmann, Ulrich [Herausgeber]; Schwinn, Thomas [Herausgeber]",2022
Max Weber revisited: Zur Aktualität eines Klassikers,"Schwinn, Thomas [Herausgeber]; Bachmann, Ulrich [Herausgeber]",2022
"Max Weber und das psychologische Verstehen : werksgeschichtliche, biographische und methodologische Perspektiven / Jörg Frommer, Sabine Frommer","Frommer, Jörg [Verfasser]; Frommer, Sabine [Verfasser]",2022
Max Weber: Kürzere politische Schriften – Band 189e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 189e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]",2022
Max Weber: Parlament und Regierung im neu geordneten Deutschland – gelbe Buchreihe – bei Jürgen Ruszkowski : Band 188e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]",2022
Max Webers Sprache : neue Einblicke in das Gesamtwerk / Edith Hanke,"Hanke, Edith [Verfasser]",2022
Medieval female mysticism and Weber’s charismatic authority : the case of Angela of Foligno / Gabriella Turai,"Turai, Gabriella [Verfasser]",2022
Parlament und Regierung im neu geordneten Deutschland – Band 188e in der gelben Buchreihe – bei Jürgen Ruszkowski : Band 188e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
Parlament und Regierung im neu geordneten Deutschland – Band 188e in der gelben Buchreihe – Farbe – bei Jürgen Ruszkowski : Band 188e in der gelben Buchreihe / Max Weber,"Weber, Max [Verfasser]; Ruszkowski, Jürgen [Herausgeber]",2022
Politik als Beruf / Max Weber,"Weber, Max [Verfasser]",2022
Politik als Beruf / Max Weber,"Weber, Max [Verfasser]",2022
Politik als Beruf / Max Weber,"Weber, Max [Verfasser]",2022
Politik als Beruf / Max Weber,"Weber, Max [Verfasser]",2022
Politik als Beruf : Politik als Beruf & Kürzere politische Schriften / Max Weber,"Weber, Max [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
Politik als Beruf : Politik als Beruf & Kürzere politische Schriften / Max Weber,"Weber, Max [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
"Politik als Beruf, Wissenschaft als Beruf : vollständige Lesung ; MP3-CD / Max Weber. Gelesen von G. S. Bolkonskij","Weber, Max [Mitwirkender]; Bolkonskij, G. S. [Mitwirkender]",2022
"Schriften zur theoretischen Soziologie, zur Soziologie der Politik und Verfassung / Max Weber. Eingel. u. mit Anm. versehen von Max Graf zu Solms","Weber, Max [Verfasser]; Solms, Max Graf zu [Mitwirkender]",2022
"[Max Weber - eine Spurensuche] ; Sulle tracce di Max Weber / Hans-Peter Müller ; edizione italiana a cura di Alessandro Cavalli, Ilenya Camozzi e Massimo Palma","Müller, Hans-Peter [Verfasser]",2022
Cäsarismus und Machtpolitik. : Eine historisch-biobibliographische Analyse von Max Webers Charismakonzept. / Rongfen Wang,"Wang, Rongfen [Verfasser]",2021
"Carl Maria von Weber : the Life of an Artist; from the German of his Son Baron Max Maria von Weber, in Two Volumes - Vol. 1 / Max M. Weber, J. P. Simpson","Weber, Max M. [Verfasser]; Simpson, J. P. [Verfasser]",2021
[Zur Geschichte der Handelsgesellschaften im Mittelalter] ; Chusei gomei goshi gaisha seiritsushi,"Weber, Max; Maruyama, Takashi,, 1961- [Sonstige]",2021
Der Kampf um das Surplusprodukt : Einführung in den klassischen Klassenbegriff / Jürgen Ritsert,"Ritsert, Jürgen [Verfasser]",2021
Die rationalen und soziologischen Grundlagen der Musik / Max Weber,"Weber, Max [Verfasser]; Guth, Karl-Maria [Herausgeber]",2021
Die rationalen und soziologischen Grundlagen der Musik / Max Weber,"Weber, Max [Verfasser]; Guth, Karl-Maria [Herausgeber]",2021
"Gott gebe Wachstum : historische und systematische Studien zur protestantischen Wirtschaftsethik nach Max Weber / herausgegeben von Georg Neugebauer, Constantin Plaul und Florian Priesemuth","Neugebauer, Georg [Herausgeber]",2021
Gott gebe Wachstum : Historische und systematische Studien zur protestantischen Wirtschaftsethik nach Max Weber,"Neugebauer, Georg [Herausgeber]; Plaul, Constantin [Herausgeber]; Priesemuth, Florian [Herausgeber]",2021
Institution und Individuum : Zur Institutionentheorie von Max Weber und Jürgen Habermas / Antje Gimmler,"Gimmler, Antje [Verfasser]",2021
"Kapitalismus, Herrschaft und Max Weber : ausgewählte Aufsätze / Guenther Roth ; herausgegeben von Steffen Sigmund","Roth, Guenther [Verfasser]; Sigmund, Steffen [Herausgeber]",2021
"Kapitalismus, Herrschaft und Max Weber. Ausgewählte Aufsätze : Herausgegeben von Steffen Sigmund","Roth, Guenther [Verfasser]; Sigmund, Steffen [Herausgeber]",2021
Konfuzianische Ethik und Legitimation der Herrschaft im alten China. : Eine Auseinandersetzung mit der vergleichenden Soziologie Max Webers. / Duan Lin,"Lin, Duan [Verfasser]",2021
[Lucianus Samosatensis] ; Lukians von Samosata : Sämtliche Werke / Aus d. Griech. übers. von M. Weber,"Weber, Max [Mitwirkender]",2021
"Max Weber und das psychologische Verstehen : Werksgeschichtliche, biographische und methodologische Perspektiven / Jörg Frommer, Sabine Frommer","Frommer, Jörg [Verfasser]; Frommer, Sabine [Verfasser]",2021
Max Weber und die Organisationssoziologie : Überlegungen zu einem Begriff der vormodernen Organisation / Philipp Jakobs,"Jakobs, Philipp [Verfasser]",2021
Max Weber und die Organisationssoziologie : Überlegungen zu einem Begriff der vormodernen Organisation,"Jakobs, Philipp [Verfasser]",2021
"Max Weber, die Ökologie und der Katholizismus / Peter Hersche","Hersche, Peter [Verfasser]",2021
Max Weber: Die protestantische Ethik und der Geist des Kapitalismus : Ein Grundlagenwerk der Soziologie / Max Weber,"Weber, Max [Verfasser]; Fritsche, Jürgen [Erzähler]; Fritsche, Jürgen [Mitwirkender]",2021
Max Webers Kulturphilosophie der Moderne. : Eine Untersuchung des Berufsmenschentums. / Rafael Llano Sánchez,"Llano Sánchez, Rafael [Verfasser]",2021
Max Webers Rationalitätsbegriff des Rechts : Wissenschaftstheorie und Rechtssoziologie / Cheyenne Anaïs Durrer,"Durrer, Cheyenne [Verfasser]",2021
Mit Leidenschaft und Augenmaß : zur Aktualität von Max Weber / Andrea Maurer (Hg.),"Maurer, Andrea [Herausgeber]",2021
Mit Leidenschaft und Augenmaß : Zur Aktualität von Max Weber,"Maurer, Andrea [Herausgeber]; Becher, Matthias Verfasser]; Tsuo-Yu, Cheng [Verfasser]; Ebner, Alexander [Verfasser]; Xinye, Huang [Verfasser]; [Maurer, Andrea [Verfasser]; Mayntz, Renate [Verfasser]; Wagner, Gerhard [Verfasser]; Schluchter, Wolfgang [Verfasser]; Weiß, Johannes [Verfasser]; Zintl, Reinhard [Verfasser]; Zahner, Nina Tessa [Verfasser]",2021
Modernität und Bürgerlichkeit. : Max Webers Freiheitslehre im Vergleich mit den politischen Ideen von Alexis de Tocqueville und Jean-Jacques Rousseau. / Martin Hecht,"Hecht, Martin [Verfasser]",2021
"Politik als Beruf : (Band 121, Klassiker in neuer Rechtschreibung) / Max Weber","Weber, Max [Verfasser]; Neuhaus-Richter, Klara [Herausgeber]",2021
